id,restaurants,name,type,price,location,description,foodScore,decorScore,serviceScore,review
11,consequatur possimus quos,exercitationem,$$,quisquam,Illo et nisi dolores esse unde.,4.2,2.8,4.0,Dignissimos non eum est adipisci tempora omnis earum qui. Consequuntur iste animi ut numquam doloribus ab porro et praesentium. Assumenda nobis ex sapiente pariatur. Non ex corporis illum voluptate voluptate qui dolor. Voluptatem laudantium ut. Maxime quas libero veritatis atque.
12,corrupti earum fugiat,ut,$,ullam,Tempore vero necessitatibus.,2.4,0.6,5.0,Ea est facere omnis alias. Consequatur sapiente molestiae voluptatem. Saepe quaerat vel omnis. At quidem est. Dolores rerum velit vero doloribus necessitatibus.
13,quis veritatis unde,dolores,$$$$,hic,A molestiae sint cumque voluptas excepturi vel fugiat ipsam.,3.6,1.0,1.0,Laudantium nesciunt repellat. Voluptas optio rerum quo consequatur veritatis. Reiciendis tempora et non voluptatem corporis nulla.
14,voluptatem consequuntur ipsum,exercitationem,$,architecto,Aut voluptas hic eveniet.,3.2,2.0,1.6,Ea saepe voluptate debitis tempora explicabo. Laboriosam eum reprehenderit ratione et debitis magni modi. Magnam non quisquam omnis temporibus. Et nihil exercitationem harum iste aut dolorem iure fuga molestias. Repellat iusto amet fugiat. Voluptas rerum dolorem repellendus ipsa voluptas possimus doloribus voluptatum.
15,quia alias neque,occaecati,$,tempora,Impedit culpa molestiae aut itaque.,4.2,1.2,0.3,Ex porro excepturi quae ea alias ut quibusdam. Aut quos nisi adipisci ut non cumque. Qui temporibus minima praesentium sed quis aliquid itaque sed nam. Reprehenderit esse et officiis quisquam voluptatem dolorem ea officia minus. Error dolores magnam praesentium.
16,aut praesentium sit,provident,$,repellat,Repellendus praesentium necessitatibus quo odio veritatis voluptatum dolorem.,3.5,2.1,0.7,Temporibus ab delectus quia nulla. Assumenda tenetur dolores sunt ab voluptatem ex. Earum et consectetur natus rerum doloremque. Saepe et numquam commodi placeat rerum omnis deserunt. Necessitatibus sed quia vel sint deleniti commodi tenetur ipsam dolorum. Ipsa voluptate aut.
17,rem placeat quia,in,$,eum,Nihil qui non quod nobis aut similique laudantium.,1.0,2.9,4.3,Accusamus non et consequatur. Dolore qui enim qui molestiae voluptatem consectetur aut voluptatem. Odio aperiam quas nesciunt soluta sunt quibusdam velit error. Non ipsam voluptas eos molestiae nostrum. Dolorem debitis recusandae placeat libero vero cum. Aut rem praesentium tempore ut.
18,velit dolore cumque,recusandae,$$$$,non,Aut et et.,2.6,0.5,1.6,Est totam dolores tenetur dolor. Ut officia ut assumenda non distinctio. Omnis provident pariatur delectus quis qui at fugiat. Dolores adipisci ea in doloremque voluptatem. Provident praesentium rerum ab. Veritatis maiores quasi atque.
19,quam delectus autem,ratione,$$,est,Nisi possimus labore quis ipsa quo officia quod et.,1.2,1.5,3.9,Quas necessitatibus quis recusandae. Sit id voluptatum rerum qui rerum esse dignissimos ut. Ut magni veniam ipsa saepe perspiciatis molestiae et autem veritatis.
20,corrupti voluptas illo,quis,$$,et,Numquam laboriosam non esse reiciendis dolorum est qui et qui.,1.9,3.7,2.6,Facilis sint minima aspernatur. Labore dolor veniam vel ut vero quia et. Quisquam occaecati veritatis provident ab labore ducimus. Ducimus repellat rerum est aliquam ipsa voluptas quia. Provident illum omnis.
21,voluptatum distinctio autem,voluptates,$$$,eum,Animi magnam quia laborum quam eius nostrum at enim.,0.3,3.6,1.0,Rerum porro aliquam voluptatem dolore et. Voluptate molestiae ut placeat. Cum quia at dolorem reiciendis voluptas eaque vel debitis aut. Ea est voluptatem praesentium consequatur corrupti odit architecto quisquam.
22,consequuntur rerum odit,possimus,$$$,qui,Ex sint soluta rerum quia accusamus aperiam.,2.0,0.7,3.3,Beatae voluptatem eum pariatur minima voluptatem. Quas in eos occaecati iste provident. Ad rerum inventore asperiores qui quo sunt. Ut nostrum unde. Repudiandae consectetur rerum sapiente. Maiores iusto minima tenetur quam perspiciatis delectus non.
23,dignissimos nostrum ut,autem,$$$,minus,Et itaque eum est.,3.0,4.5,2.6,Minima corporis sunt sint consequatur. Sit nihil adipisci est quo nemo cupiditate. Inventore quis eum sunt eveniet explicabo qui quae aut. Qui quod expedita ut praesentium nesciunt porro alias quia. Doloremque quasi dolorem.
24,pariatur mollitia deleniti,nam,$$,ipsum,In ea odio nesciunt.,0.6,1.9,2.8,Molestiae natus rem eum consectetur error. Repellendus deserunt illum magni autem facilis est sequi harum aspernatur. Odit labore eveniet beatae excepturi impedit voluptas a repellat. Aperiam dolorum eligendi aut vel. Quam voluptatibus excepturi ullam rerum est provident.
25,rem eius quam,quo,$,provident,In eum deleniti adipisci qui.,4.0,3.2,4.1,Inventore quia omnis. Possimus voluptas cupiditate dolor voluptatibus doloremque aut. Labore laboriosam corrupti sequi illo neque.
26,tempore ipsum culpa,atque,$$$$,cumque,Provident consequatur eveniet saepe aut.,0.5,3.7,2.2,Dolores non inventore ut. Accusantium est ratione nam similique. Maxime qui aut. Iusto totam soluta modi asperiores sint debitis omnis. Repellat dolor consectetur eaque et quo suscipit. Ea ut eos.
27,similique et est,at,$$$,sunt,Ut temporibus iste rem sunt officia et quia voluptatem.,1.5,5.0,0.2,Nihil quas vero neque est eius. Earum ut necessitatibus omnis perspiciatis quidem esse iure hic. Nesciunt dolore magni voluptatem.
28,veniam atque autem,consequuntur,$$,voluptates,Vel repellendus libero in laboriosam qui facilis adipisci sint.,0.5,0.3,0.2,Facere ut possimus. Iusto impedit ab minus autem qui et accusamus quo rerum. Facere quo dolorum occaecati quae ducimus a aliquam. Molestias provident beatae voluptas. Corporis quo odit sit facilis suscipit et. Quos et quaerat.
29,illum id incidunt,beatae,$$$$,omnis,Quibusdam quam nihil.,4.4,0.3,4.3,Sit dolor exercitationem consequatur. Sunt et dignissimos. Modi quos quas. Fuga voluptatibus natus officiis velit cumque quidem assumenda voluptatem maxime. Ea est ratione illum eligendi aut ut porro. Similique deleniti aut voluptatibus consequatur tempore sed quisquam quia.
30,distinctio minima provident,possimus,$$,inventore,Qui consectetur voluptas exercitationem placeat quibusdam quam cupiditate.,0.2,2.4,4.9,Commodi aspernatur eius voluptatem eos esse eligendi. Repellat alias soluta minus consequuntur eum maxime. Deserunt ut rem cum libero libero est in qui. Eaque quo eum sint iste asperiores. Aliquam maxime nemo excepturi sint sit.
31,est quia sequi,amet,$$$,velit,Est quia ut.,2.1,1.5,0.6,Et quibusdam et tempore error cum sit dolore odit et. Esse unde laboriosam minus. Expedita rerum suscipit ad aliquid officia. Sit autem nihil.
32,explicabo recusandae impedit,iste,$$$$,vitae,Eos cupiditate delectus ut id quia quia et aut vero.,0.6,1.6,1.8,Voluptatibus placeat dignissimos non incidunt. Sint facere iusto ut veritatis. Quidem enim et eos quos quasi et unde sed sed. Voluptatem aut architecto consequatur aliquid ipsa tenetur quia. Corporis quo blanditiis maxime. Sit et sunt nam omnis voluptas.
33,sapiente est possimus,repudiandae,$$$$,non,Necessitatibus cum sapiente excepturi vel voluptatem impedit accusamus voluptatem et.,2.0,0.6,0.3,Reiciendis qui quidem omnis doloribus placeat at earum omnis eius. Dignissimos dolorem perspiciatis et. Est et soluta. Non porro alias neque expedita. Tenetur voluptatem incidunt. Aliquid vel ad incidunt recusandae.
34,aut fugit ut,incidunt,$$,voluptatem,Aut alias amet.,4.9,0.7,4.6,Et iusto commodi itaque. In dolorum odio nemo est ut ea quo. Incidunt qui delectus eos qui aut dolorum explicabo voluptate est.
35,qui assumenda cupiditate,quasi,$$$$,sapiente,Minima nemo aut velit asperiores.,3.0,1.1,0.9,Odio labore doloremque officia eum corporis mollitia placeat. Qui tempora expedita itaque autem vel. Sit ut debitis et. Non culpa enim cumque ratione nihil ducimus. Quas et et dolores vitae optio.
36,vitae incidunt earum,illo,$$,et,Aperiam illum ex vel.,0.9,5.0,1.8,Iure at sit beatae consequatur autem molestiae. Laborum omnis odit commodi architecto accusantium. Officia quis omnis fugiat suscipit. Saepe ut odit nostrum et.
37,blanditiis consequatur eaque,odit,$$$$,magnam,Sint cumque rerum nemo exercitationem tempore qui voluptatum aliquid.,3.0,0.3,1.5,Et vel perferendis. Et maiores ut officia. Et at velit eos sit eos nihil nisi quae. Eos ut explicabo sed expedita et vero impedit. Saepe non vel labore corporis consequuntur et adipisci. Nisi consequatur quidem id.
38,earum corrupti dolorem,sed,$$$$,reiciendis,Blanditiis ducimus unde.,3.8,2.0,4.8,Quaerat accusantium est ad excepturi possimus officiis dolorem illo sed. Molestiae voluptas consequatur. Dolor non culpa vitae autem dolore est.
39,molestias ratione accusantium,aliquid,$$,id,Et temporibus magni blanditiis distinctio voluptate delectus illum.,2.6,3.2,1.5,Quis quaerat nihil quis vero excepturi architecto et suscipit. Consequatur porro enim voluptatem aut. Sed reiciendis animi ut. Est quia et qui delectus repellat doloremque neque voluptates cupiditate. Illo possimus sunt quasi minima impedit dolorem velit occaecati amet. Quia ea voluptatem placeat ut repellat.
40,voluptates incidunt sed,cumque,$$$$,aliquam,Et eligendi impedit saepe sapiente deleniti cupiditate repellat.,1.4,0.7,4.2,Pariatur ut necessitatibus aut perferendis voluptatum omnis. Consectetur eligendi temporibus ea quam aspernatur adipisci voluptas dicta eum. Ea tempore fugiat. Neque est voluptatem aperiam voluptatum.
41,quo qui sint,quod,$,saepe,Ducimus voluptas nostrum necessitatibus consequatur repellat asperiores rem.,0.4,3.4,3.6,Blanditiis illum doloribus et optio explicabo incidunt. Facere hic rem minima quia corrupti. Est id ut. Quo laudantium odio temporibus et aut. Qui minima dolorem.
42,autem vel veritatis,id,$$$$,nulla,Aut earum tenetur.,1.5,1.2,1.9,Sint voluptatem dolorem commodi placeat quam. Aut tempore autem aut. Aliquid ut laboriosam. Sed harum sit voluptatem. Ut commodi voluptatem sit mollitia.
43,eos et eaque,alias,$$,voluptate,Deleniti sequi sed mollitia neque ut maiores quos.,2.3,1.3,1.6,Magni aut quam ratione iste molestiae exercitationem. Sed doloribus incidunt voluptatem. Tempora maxime ut. Animi ea at adipisci porro. Rerum occaecati qui ex ut. Ullam in nemo consectetur aspernatur.
44,ducimus amet optio,et,$,unde,Odit ipsa totam ipsa.,3.2,3.9,0.6,Dicta vero numquam corrupti et corporis inventore est ut voluptates. Maiores nihil natus fugit nemo consequatur eveniet. Suscipit qui saepe ab optio. A et voluptate inventore voluptate atque veritatis eveniet libero rerum. Architecto aliquam autem magnam velit aut.
45,consequuntur rem exercitationem,dolore,$$$,quia,At odio nulla blanditiis.,0.4,4.5,3.0,Eveniet qui ut quis quae quidem ut reprehenderit dicta. Eos excepturi fugiat quo. Dicta sed ex sed voluptates consectetur quam minus aut dolor.
46,corrupti ad perferendis,sit,$,et,Suscipit ratione distinctio.,0.9,0.6,2.6,Minus enim consequatur sit aperiam ea fugiat quas. Velit et ratione. Non aliquam non fugiat quaerat necessitatibus aut totam. Incidunt aperiam consequatur ut maiores quibusdam eum velit quo ad. Facere qui culpa unde sint quasi ad cum accusamus aliquam. Rerum sunt ea.
47,quia ea repudiandae,et,$$,fugit,Quam temporibus aut debitis.,2.8,1.4,1.4,Voluptatem corporis qui mollitia voluptas totam. Dolorum maxime sapiente veritatis unde. Omnis dolores consequatur impedit cupiditate sapiente nam sed harum.
48,mollitia quos aut,eum,$$,animi,Molestias ut delectus aut dolore velit itaque aut incidunt molestiae.,0.1,4.0,0.5,Iusto pariatur itaque repudiandae culpa ex accusamus omnis pariatur nesciunt. Sit est est suscipit deleniti iure quo et. Odit quam deleniti aut voluptates aut voluptatem possimus dolor.
49,qui rem quo,iste,$,in,Et beatae voluptatem consequatur.,2.3,1.9,3.4,Aperiam sunt voluptatibus labore fugit dolor est qui saepe assumenda. Quis est aut vitae maxime cupiditate nihil ipsam vitae. Qui debitis temporibus provident rerum. Est amet dolorum. Illum non doloribus architecto soluta. Cumque sunt nihil architecto non voluptatibus ut dignissimos quam.
50,sit repellendus blanditiis,ratione,$$,nesciunt,Aut molestias voluptates impedit et.,1.4,0.1,2.9,In rem ut voluptatem. Atque corrupti rerum eos ab delectus animi aspernatur. Et voluptas dicta eius tempora amet harum. Doloribus eum amet esse illum.
51,modi natus illo,et,$$$,quaerat,Velit quas autem fuga sed qui.,1.9,2.6,3.8,Velit necessitatibus dolore et exercitationem vero libero soluta eos. Nisi perferendis sint. Quis harum soluta in cumque ut quidem et autem ipsa. Voluptate ullam doloribus in error ipsam. Animi placeat corporis fugit ut reiciendis voluptatibus id. Necessitatibus numquam excepturi officiis voluptatem saepe.
52,quas voluptatem ut,eum,$$,aperiam,Est enim quis est.,4.3,1.3,4.6,Reiciendis sit quae tenetur reprehenderit minus amet molestias. Ducimus perspiciatis laudantium ab porro. Quis sunt molestias est rerum eum. Fuga ad repudiandae. Officiis inventore minus odit.
53,repellat nulla aliquam,corporis,$,aut,Dolorum facilis est magnam voluptatem.,1.0,2.9,2.3,Dignissimos eius omnis nobis magnam dolorem voluptas sed nulla reiciendis. Voluptatem et aut in. Velit sed itaque corrupti quia quidem ratione. Natus non minima beatae. Nemo quo dicta enim eos porro ipsa ducimus aut perferendis. Natus deserunt voluptatem ea doloribus et ut.
54,dolore rerum similique,earum,$$$,eius,Placeat assumenda eveniet iure dolorem dolorem commodi magnam voluptas qui.,3.0,0.6,0.9,Placeat nesciunt necessitatibus ut est. Deserunt eos sequi autem quis non eligendi saepe nam. Laboriosam consequuntur consequatur dolores voluptatem id ullam sequi ipsam. Occaecati dolor et quas vel. Velit sunt consequatur voluptates sapiente et ut sapiente recusandae. Odit doloremque magnam excepturi dolor autem sequi non fugiat cumque.
55,qui a nostrum,laborum,$$,unde,Dolorem necessitatibus est illo praesentium molestias et dolor.,4.5,2.9,0.1,In commodi molestiae ad itaque odio rerum laudantium fugit. Impedit rerum nemo nostrum quia est rerum laudantium. Sapiente reiciendis rerum. Occaecati doloribus quia expedita in exercitationem dolorem. Ipsam sed repudiandae.
56,qui magnam sunt,perferendis,$$$,consectetur,Et quos error eaque repellat odio quam iure et autem.,2.1,3.4,3.1,Voluptatibus nisi dolore porro sit. Non eum et quo dolor rerum veniam accusantium aliquam. Perferendis aut aut impedit reprehenderit aut ipsam quod. Quidem est sit ullam.
57,harum possimus sit,sit,$,incidunt,Ad eius maiores.,0.3,1.6,2.6,Corrupti vitae quia vel sint ut iusto itaque. Ratione nesciunt commodi et dolores eaque. Quod animi aut et dolorem deserunt eum. Provident et repellat.
58,et provident dolor,molestias,$$$,recusandae,Dolor aut mollitia laudantium.,4.8,3.7,2.4,Dolorem aut quisquam quia dignissimos iure quibusdam placeat vel. Et ipsa eos modi qui rerum. Hic aut vitae. Quis accusamus voluptas consequatur sit.
59,illo voluptas rem,quibusdam,$$,facilis,Voluptas repellat in excepturi pariatur debitis id.,3.2,5.0,0.9,Earum quia repellendus eaque dolor sint adipisci quam et. Voluptas facere itaque omnis. Est debitis aut temporibus modi sequi neque quae voluptatem et. Rerum aut quas sit qui quibusdam.
60,odio non molestias,accusamus,$$$,beatae,Necessitatibus soluta illo repellendus rerum.,0.8,3.7,0.6,Repellat repudiandae natus voluptas. Aut et aut. Itaque hic ea ipsum commodi ducimus. Quam quibusdam nostrum ut numquam unde quia ut aut dicta. Nostrum dolore fugiat sapiente quam exercitationem non temporibus aut voluptatum. Id fuga et suscipit mollitia.
61,et cupiditate nesciunt,ratione,$$$,deleniti,Beatae id ab perferendis sapiente sed explicabo.,2.2,3.0,1.0,Sequi odit sit reprehenderit minima quos quidem recusandae. Molestias numquam ducimus vel qui inventore dicta ratione. Autem voluptatem deserunt odio. Quod odit sint voluptatum ut magni.
62,quo facere ratione,voluptatem,$,qui,Eos enim sint illum quia.,4.0,2.1,4.9,Doloremque ipsa nam ea optio facere ipsum culpa eius porro. Et vel minus et molestiae corrupti fuga mollitia. Excepturi assumenda dolor blanditiis voluptatem molestias. Rerum rerum est necessitatibus totam molestiae eius pariatur aperiam.
63,omnis qui rerum,deserunt,$$,ad,Tenetur consequatur ducimus voluptatem ipsam aliquam quaerat et.,0.5,1.2,0.5,Blanditiis odit unde eveniet. Hic quis cum sequi et. Consequatur debitis explicabo nam debitis est illo sequi quasi cupiditate. Repudiandae ea aut earum autem.
64,dolores quis eos,incidunt,$,esse,Eum minima neque sed nesciunt unde.,3.4,0.6,4.9,In possimus beatae. Nemo dolor voluptatum nobis voluptatem quisquam dolor. Omnis inventore molestiae explicabo ullam.
65,aut qui saepe,laudantium,$$$$,autem,Perferendis non sint esse aliquam deserunt.,2.2,4.3,0.3,Dolor sit eius maiores dicta quis. Eum amet aliquam eos sapiente. Accusamus et ut voluptas perferendis labore. Autem fuga et. Debitis odio mollitia impedit omnis voluptas cum laudantium enim voluptate. Dolorem perferendis est error.
66,natus est autem,corrupti,$$$$,suscipit,Nobis aut enim sapiente aut in sequi.,2.0,1.0,1.2,Omnis asperiores sapiente alias aut ea magnam quia in. Aut error quasi quo aut voluptas rerum molestias. Illum et ab et. Voluptatem quam quia quibusdam id repellat at voluptatem. Occaecati recusandae eos et inventore maiores ea.
67,saepe nihil recusandae,nobis,$$$$,rerum,Ducimus vel repellat vero saepe dicta.,0.7,0.0,0.9,Quaerat nulla facere delectus vero qui. Minus blanditiis voluptatum sunt commodi ut rerum unde omnis. Debitis asperiores excepturi eos animi numquam reiciendis eligendi. Nesciunt aut rem rerum et alias vel. Facere deleniti non qui laudantium nisi atque.
68,quo illum aut,sunt,$$$$,atque,Similique omnis sit occaecati cum occaecati itaque.,1.5,3.4,4.7,Eum asperiores laborum nobis sapiente et iste. Error ut accusamus repudiandae quia. Consequatur accusantium pariatur qui delectus nobis quaerat ipsum non assumenda. Omnis vel quae dolor.
69,quae et quam,enim,$$,minus,Ex voluptatem deserunt ut autem error velit.,1.3,1.8,0.6,Omnis ex praesentium. Est architecto eaque consequatur perspiciatis id. Dolorum et placeat exercitationem. Blanditiis voluptas quidem quae fugiat suscipit fuga. Dicta vel cupiditate qui asperiores architecto.
70,nobis sunt excepturi,qui,$$,voluptates,Aut consectetur rerum ab rerum natus laboriosam et facere.,0.2,3.8,3.7,Atque et dolorem aspernatur iure quam minima quam. Molestiae repudiandae qui animi recusandae. Cum consequuntur ipsam error saepe vel magni asperiores sed maiores. Voluptatibus cumque voluptatem est excepturi doloremque voluptate aut.
71,explicabo odio provident,in,$$$,aut,Voluptate commodi nulla doloribus omnis.,4.6,1.0,0.4,Dolore at placeat perferendis sed. Amet aspernatur corporis quia laboriosam similique aut. Provident sit ullam et est error quas quo. Assumenda id doloremque voluptatem in aut aut nobis voluptas nulla. In voluptas possimus et eaque eos magni voluptatibus odio soluta. Facere dolorem nam qui eos accusantium illo qui eius.
72,adipisci consequatur perspiciatis,alias,$$$$,repudiandae,Accusantium vel est ipsam sed quisquam odit omnis fugit.,1.2,0.6,4.0,Nisi sapiente voluptatibus. Omnis saepe ab autem. Omnis at aut a non distinctio omnis. Odio nam debitis alias id quasi cumque. Quam excepturi qui aut dolor officia non provident.
73,qui sit omnis,sit,$,omnis,Aut unde et quia perspiciatis pariatur suscipit.,1.5,3.2,4.6,Est praesentium non. In dolores consectetur aut. Quibusdam non aut corporis sunt repellendus non eum labore enim.
74,sit fugit quis,numquam,$$$$,sit,Quis rerum illum consequatur nihil molestias saepe.,0.4,3.7,2.2,Asperiores quibusdam delectus soluta sed. Sequi aut veniam voluptatem cum odit. Eum excepturi consequuntur aut voluptas maxime est. Rerum voluptatem omnis. Autem occaecati qui neque quisquam autem. Est ipsa magni.
75,deserunt delectus ut,ab,$,voluptatibus,Provident recusandae temporibus et explicabo occaecati id qui ab tempora.,3.0,3.5,3.3,Minus illo natus aut nulla quia sapiente. Quia dolor ad voluptates ab ut dolorem perferendis rerum aut. Rerum amet aut voluptate sed qui eos qui labore.
76,excepturi maiores fugit,fugit,$,natus,Molestiae et ab qui consequatur perspiciatis iusto.,4.5,3.0,3.7,Esse dolore dolores. Et perferendis repellat tempora consequatur ut maxime sed praesentium dolor. Ut praesentium sequi magnam. Placeat dolore in similique officiis reprehenderit.
77,numquam harum hic,voluptate,$,iste,Qui odit quas.,0.9,1.3,0.4,Earum atque unde accusamus voluptatum. Et et veniam sapiente maxime eaque praesentium a. Vitae est voluptatem ut qui ea temporibus. Fuga earum cupiditate.
78,corporis molestias dolor,non,$,perferendis,Expedita veritatis aut reiciendis soluta.,0.4,3.5,2.3,Esse dolorum dolore id. Recusandae impedit quo quia aut commodi. Modi enim et voluptatem libero. Non molestiae odio non voluptas adipisci et.
79,laboriosam assumenda laudantium,alias,$,dolorem,Natus dolorem velit aut.,2.6,4.7,4.1,Atque odio facilis at ea iure quis eaque. Incidunt iusto incidunt aliquid velit aliquid sit. Nam eum et et occaecati quo eum debitis animi autem. Doloremque dolorum omnis consequuntur eos dolor.
80,eius aut ut,rerum,$,et,Sit hic aut porro rerum voluptatem quis.,3.0,4.5,2.7,Dicta cumque sequi quisquam accusantium blanditiis magnam. Facilis voluptas architecto qui voluptas minima inventore aut illum dolorem. Ab ipsum qui qui repellendus occaecati assumenda.
81,autem cum voluptate,dignissimos,$$$$,consectetur,Odio est reiciendis minima tempora sunt excepturi totam.,2.6,1.4,2.3,Neque reprehenderit maxime asperiores quasi. Et nihil ea voluptate non odit a ab. Eius sequi necessitatibus voluptate et. Non consequatur cupiditate quod non enim distinctio modi.
82,assumenda tempore officia,minima,$$,reprehenderit,Officiis aliquid reiciendis ut maiores.,0.5,0.5,1.3,Perspiciatis ad vel nostrum sit aut. Vel inventore laborum velit laborum. Harum nostrum sunt quam. Aut facilis debitis recusandae error suscipit expedita autem iure aut. Asperiores fugiat amet vitae impedit rerum fuga quia.
83,vel aperiam dignissimos,sit,$,voluptas,Commodi adipisci cum ut ut sunt exercitationem dolor quia quae.,1.1,2.4,3.6,Rerum ipsa rem qui cupiditate ut veritatis dolores et. Magnam atque eum est porro sed. Voluptas quisquam voluptatum minima consequatur voluptas. Consequatur ut consequuntur mollitia. Et commodi blanditiis id placeat ea unde quaerat aut. Provident quia sit.
84,facere id corporis,quo,$$$,quia,Quia eveniet ducimus tempore libero necessitatibus aut odit quia vel.,0.8,2.5,0.8,Corrupti ipsum velit cumque et labore qui ut ipsa voluptates. Odio quia est iusto tempore fugiat voluptate veniam. Sed eum fugiat consequatur consectetur impedit dicta in aut consequatur. Amet illo voluptatem in itaque mollitia quia harum non dolore. Reiciendis iure delectus sed quo similique ducimus debitis.
85,deserunt odio a,quis,$$$$,ut,Ut eaque sint ut maiores nostrum.,2.1,4.1,2.5,Officia officia rerum laboriosam. Eius quod sit mollitia error amet qui expedita vel omnis. Sint nobis enim quod omnis dolorem dolore.
86,voluptas vitae facilis,et,$$,dicta,Soluta accusantium similique architecto.,3.2,0.5,2.5,Et autem sequi dolor ut quia reprehenderit delectus ea. Praesentium quas error qui magni nihil aspernatur sit vero. Fuga et et architecto quis ut error et. Delectus praesentium sint. Qui ipsum et animi adipisci vero nemo ut illum. Qui aut ea eveniet laudantium.
87,sint consectetur et,corrupti,$,illo,Eius maiores quam.,2.3,3.4,3.7,Placeat dolor temporibus ad voluptas et voluptatibus. Est totam est nulla explicabo repellat cumque asperiores recusandae. Quia qui est. Consequatur nihil iure ut minus. Iure accusamus dolore eaque quia ut illo explicabo distinctio sint.
88,cumque quae veniam,quo,$$$$,vero,Omnis facilis et.,3.2,0.1,3.5,Eaque saepe vero vitae ut qui dolorem. Ipsa sed quibusdam est dolores sed id in architecto. Et ullam ex cupiditate sapiente id fuga accusantium sint. Et explicabo quis itaque dignissimos autem repellat modi dolor. Vel sunt tempore velit pariatur sint.
89,laborum nam molestias,est,$$,quidem,Facere a omnis.,1.2,0.1,3.6,Laborum quam harum ipsam cum harum similique voluptates. Reprehenderit optio necessitatibus at. Voluptatem earum qui repellendus id.
90,repudiandae et ea,earum,$$,reprehenderit,Et vero eum similique voluptatem earum.,4.0,4.3,4.8,Labore laborum nam magni. Et sed qui quaerat quaerat. Corporis laborum ut et quasi non nostrum.
91,corrupti sed ad,reprehenderit,$$$$,rerum,Ipsam id officia aut amet dicta perferendis.,2.1,4.9,1.0,Et error voluptatibus et quo perspiciatis quae nobis sit est. Architecto consequatur quod quae qui ipsa voluptas aliquam repudiandae maxime. Rerum dolore repellendus dolorem. Eaque nisi hic vel voluptatem sed sequi itaque. Quo odit tenetur. Qui eaque rerum suscipit repudiandae repudiandae beatae neque id.
92,sit eum dolorem,facere,$$$$,quis,Nihil consequatur qui aut sed dolor perferendis autem.,2.5,3.5,3.5,Numquam id id qui a. Debitis voluptatem consequatur qui quod ex eos qui. Omnis qui consectetur et ea totam non voluptatem nesciunt aut. Ut vel quidem aut suscipit.
